MySQL HeatWave란 무엇인가요?|MySQL HeatWave는 통합 HeatWave 인메모리 쿼리 가속기를 기반으로 하는 완전 관리형 데이터베이스 서비스입니다.
AWS에서 MySQL HeatWave를 사용한다는 것은 AWS와 OCI 사이에 상호 연결이 있다는 것을 의미합니까?|아니요, 그렇지 않습니다. MySQL HeatWave는 AWS 클라우드에서 기본적으로 실행되며, 데이터 플레인, 제어 플레인 및 콘솔은 모두 AWS 내부에서 실행됩니다.
MySQL HeatWave Lakehouse는 얼마나 많은 데이터를 처리할 수 있나요?|고객은 MySQL HeatWave Lakehouse를 이용해 최대 0.5 페타바이트의 데이터를 쿼리할 수 있으며, HeatWave 클러스터는 최대 512개 노드까지 확장됩니다.
HeatWave AutoML을 개체 스토리지의 데이터와 함께 사용할 수 있나요?|네. HeatWave AutoML이 Lakehouse를 지원하면 고객이 기계 학습에 훨씬 더 광범위한 데이터 세트를 사용할 수 있습니다.
어디에서 거래를 실행하시나요? 객체 저장소 또는 MySQL 데이터베이스에서?|객체 저장소에는 트랜잭션 의미가 없습니다. 데이터가 본질적으로 트랜잭션적이라면 데이터베이스에 남아 있어야 합니다.
제 고객이 HeatWave 엔진에 일부 MySQL 테이블을 고정하고 싶어하는데, 가능할까요?|네, HeatWave에 특정 테이블을 로드하면 모든 해당 쿼리가 HeatWave에 의해 가속화됩니다.
Oracle Analytics Cloud는 OCI에서 MySQL HeatWave와 함께 작동합니까?|네, OAC와 OAS는 둘 다 OCI의 MySQL HeatWave 및 MySQL HeatWave Lakehouse와 완전히 통합되어 있습니다.
온프레미스 MySQL 실시간 복제를 MySQL HeatWave로 수행하는 데 권장되는 솔루션은 무엇입니까?|고객의 현재 작업 부하가 OLAP로 구성되어 있고 고객이 온프레미스 환경에서 벗어나고 싶어하지 않는 경우 MySQL 인바운드 복제를 켜서 온프레미스에서 클라우드로 데이터를 복제하고 여기에서 HeatWave를 실행할 수 있습니다.
제 고객은 과거 MySQL 데이터에 무슨 일이 일어나는지 알고 싶어합니다. 과거 행이 HeatWave에 입력되나요?|고객의 과거 데이터는 MySQL 데이터베이스의 InnoDB 데이터 저장 엔진에 있습니다. HeatWave는 메모리 내 엔진이며 쿼리 가속을 위해 이를 처리합니다.
고객이 다른 클라우드에서 MySQL HeatWave로 쿼리를 전송할 수 있나요?|네, 고객은 다른 클라우드나 온프레미스 환경에서 MySQL HeatWave로 데이터베이스를 복제하여 OLTP와 OLAP 작업 부하를 모두 가속화할 수 있습니다.
HeatWave는 JSON 문서에 대한 작업을 지원합니까?|네, 개발자와 DBA는 HeatWave를 사용하여 MySQL 데이터베이스에 저장된 JSON 문서에 대한 실시간 분석을 수행하고 문서에 대한 분석 쿼리를 엄청나게 가속화할 수 있습니다.
제 고객은 아직 퍼블릭 클라우드 서비스를 사용할 준비가 되지 않았지만 MySQL 애플리케이션에 HeatWave의 이점을 원한다고 말합니다. 하이브리드 솔루션이 있습니까?|네, 그렇습니다. 다른 클라우드 공급업체와 비교했을 때 차별화 요소입니다.
OLAP의 경우, 제 고객은 데이터를 인덱싱해야 한다고 말합니다. HeatWave는 인덱싱을 합니까?|MySQL HeatWave를 사용하면 고객이 분석/복잡/혼합 워크로드 쿼리를 실행하기 위해 인덱스를 만들 필요가 없습니다.
고객이 ML 모델이 완전히 설명 가능하다는 점에 관심을 가져야 하는 이유는 무엇입니까?|고객은 대출 승인이나 거부된 신용카드 신청 등 ML 모델에 의해 결정된 이유를 설명할 수 있어야 하기 때문에 신경을 쓸 것입니다.
MySQL HeatWave는 어떤 고급 보안을 제공합니까? 이러한 기능이 내 고객에게 중요한 이유는 무엇입니까?|고급 보안 기능에는 서버 측 비대칭 데이터 암호화, 데이터 마스킹 및 익명화, 데이터베이스 방화벽이 포함됩니다.
MySQL Autopilot 자동 스레드 풀링이란 무엇인가요?|MySQL Autopilot은 MySQL HeatWave 스레드 풀의 성능을 개선하여 데이터베이스 서비스가 주어진 하드웨어 구성에 대해 더 많은 트랜잭션을 처리할 수 있도록 합니다.
MySQL Autopilot 자동 형태 예측이란 무엇입니까?|자동 형태 예측은 처리량 및 버퍼 풀 적중률을 포함한 작업 부하를 지속적으로 모니터링하여 지정된 시간에 적합한 컴퓨팅 형태를 권장합니다.
MySQL Autopilot 자동 압축이란 무엇입니까?|자동 압축은 각 열에 대한 최적의 압축 알고리즘을 결정하여 더 빠른 데이터 압축 및 압축 해제로 로드 및 쿼리 성능을 개선합니다.
MySQL Autopilot Adaptive 쿼리 최적화란 무엇인가요?|적응형 쿼리 최적화는 쿼리 실행이 시작된 후 다양한 통계를 사용하여 데이터 구조와 시스템 리소스를 조정합니다.
MySQL HeatWave 레이크하우스는 어떻게 그렇게 훌륭하게 확장될 수 있나요?|HeatWave의 극한 성능은 확장형 아키텍처의 결과로, 최대 512개의 클러스터 노드를 사용하여 클러스터 프로비저닝, 데이터 로드 및 쿼리 처리를 위한 대규모 병렬 처리가 가능합니다.
데이터베이스에서만큼 빠르게 개체 스토리지에 있는 데이터를 쿼리하는 것은 어떻게 가능할까요?|HeatWave는 데이터를 로딩할 때 정확한 통계를 계산하고, MySQL Autopilot은 이전에 실행된 쿼리로부터 학습하여 이후의 다양한 쿼리의 쿼리 실행을 개선하기 때문에 가능합니다.
MySQL HeatWave에 대한 마이그레이션 프로그램이 있나요?|네, 그렇습니다 https://www.oracle.com/mysql/migration/
